BusinessDay;PromotionID;PromotionName;PromotionMinBusinessDay;PromotionMaxBusinessDay;GuestCountTotal;GuestCountFranchise;GuestCountMcOpCo;GrossAmount;NetSalesAmountAfterDiscount;UnitsSold;AvgFPCostAvg;NetSalesAmount;FPCost;StoreCountFranchise;StoreCountMcOpCo;StoreCountTotal
2018-08-21;226;McChicken® Classic + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 2,49€;2018-08-17 00:00:00;2018-08-24 00:00:00;15977;14250;1727;115913,610;34256,220;15977;1,107;71338,253;17695,310;1366;118;1484
2018-08-22;226;McChicken® Classic + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 2,49€;2018-08-17 00:00:00;2018-08-24 00:00:00;16284;14563;1721;119034,400;34916,888;16283;1,108;72698,675;18048,574;1366;118;1484
2018-08-23;229;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-23 00:00:00;2018-08-31 00:00:00;374;316;58;2460,680;638,850;374;,921;837,622;344,773;1366;118;1484
2018-08-23;226;McChicken® Classic + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 2,49€;2018-08-17 00:00:00;2018-08-24 00:00:00;15297;13706;1591;116100,060;32794,989;15297;1,107;68439,715;16946,017;1366;118;1484
2018-08-24;226;McChicken® Classic + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 2,49€;2018-08-17 00:00:00;2018-08-24 00:00:00;10;10;0;78,700;21,244;10;1,109;44,119;11,090;1366;118;1484
2018-08-24;229;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-23 00:00:00;2018-08-31 00:00:00;19730;17671;2059;139807,490;33631,814;19730;,923;43867,993;18214,473;1366;118;1484
2018-08-25;229;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-23 00:00:00;2018-08-31 00:00:00;14210;12735;1475;114168,130;24190,726;14210;,922;31520,965;13113,481;1366;118;1484
2018-08-26;229;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-23 00:00:00;2018-08-31 00:00:00;12942;11632;1310;113709,450;22041,461;12941;,923;28693,364;11949,761;1366;118;1484
2018-08-27;1003;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-13 00:00:00;2018-09-01 00:00:00;3;3;0;13,340;5,016;3;,926;6,480;2,778;1366;118;1484
2018-08-27;229;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-23 00:00:00;2018-08-31 00:00:00;9060;8091;969;65016,350;15428,202;9060;,920;19922,470;8341,996;1366;118;1484
2018-08-28;1009;Big Mac nur 1,99€  Lass es dir schmecken!;2018-08-28 00:00:00;2018-09-02 00:00:00;4;4;0;30,210;7,440;4;,698;14,916;2,792;1366;118;1484
2018-08-28;229;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-23 00:00:00;2018-08-31 00:00:00;1;1;0;2,990;1,740;1;,926;2,247;,926;1366;118;1484
2018-08-28;1003;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-13 00:00:00;2018-09-01 00:00:00;4063;3627;436;29078,940;6919,435;4063;,921;8945,932;3744,760;1366;118;1484
2018-08-28;1010;Hamburger Royal TS® oder McRib® Nur je 1,99€;2018-08-28 00:00:00;2018-09-03 00:00:00;2;2;0;3,980;3,720;2;,797;8,018;1,594;1366;118;1484
2018-08-29;1003;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-13 00:00:00;2018-09-01 00:00:00;3699;3321;378;28065,370;6306,787;3699;,920;8152,715;3404,077;1366;118;1484
2018-08-29;1005;Sarah Sammelpass  Stempel sammeln;2018-08-29 00:00:00;2018-08-29 00:00:00;1;0;1;,000;,000;0;,000;,000;,000;1366;118;1484
2018-08-30;1003;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-13 00:00:00;2018-09-01 00:00:00;5576;4988;588;41685,670;9496,690;5576;,921;12245,896;5136,492;1366;118;1484
2018-08-30;1010;Hamburger Royal TS® oder McRib® Nur je 1,99€;2018-08-28 00:00:00;2018-09-03 00:00:00;4;4;0;16,640;7,064;4;,716;14,500;2,864;1366;118;1484
2018-08-31;1010;Hamburger Royal TS® oder McRib® Nur je 1,99€;2018-08-28 00:00:00;2018-09-03 00:00:00;727;629;98;3959,100;1289,029;727;,765;2821,023;556,360;1366;118;1484
2018-08-31;1003;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-13 00:00:00;2018-09-01 00:00:00;6830;6090;740;53817,410;11637,237;6830;,921;15002,984;6292,526;1366;118;1484
2018-08-31;229;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-23 00:00:00;2018-08-31 00:00:00;5;5;0;52,910;8,564;5;,926;11,061;4,630;1366;118;1484
2018-08-31;1009;Big Mac nur 1,99€  Lass es dir schmecken!;2018-08-28 00:00:00;2018-09-02 00:00:00;1632;1405;227;10906,280;2886,012;1632;,700;6107,135;1143,558;1366;118;1484
2018-09-01;1010;Hamburger Royal TS® oder McRib® Nur je 1,99€;2018-08-28 00:00:00;2018-09-03 00:00:00;11553;10298;1255;104093,810;20360,863;11552;,768;44544,182;8877,471;1366;118;1484
2018-09-01;1009;Big Mac nur 1,99€  Lass es dir schmecken!;2018-08-28 00:00:00;2018-09-02 00:00:00;432;368;64;2587,030;760,849;432;,698;1605,692;301,558;1366;118;1484
2018-09-01;1003;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-13 00:00:00;2018-09-01 00:00:00;63;62;1;438,910;107,608;63;,926;138,987;58,338;1366;118;1484
2018-09-02;1009;Big Mac nur 1,99€  Lass es dir schmecken!;2018-08-28 00:00:00;2018-09-02 00:00:00;5;5;0;48,330;8,736;5;,698;18,395;3,490;1366;118;1484
2018-09-02;1010;Hamburger Royal TS® oder McRib® Nur je 1,99€;2018-08-28 00:00:00;2018-09-03 00:00:00;11501;10193;1308;113873,190;20407,437;11501;,765;44611,640;8809,131;1366;118;1484
2018-09-03;1012;Hamburger Royal TS® oder McRib® nur je 1,99€ Nur einlösbar von 10:30 Uhr bis 24:00 Uhr;2018-09-03 00:00:00;2018-09-08 00:00:00;5627;4986;641;50862,680;9999,754;5627;,762;21812,457;4290,084;1366;118;1484
2018-09-03;1010;Hamburger Royal TS® oder McRib® Nur je 1,99€;2018-08-28 00:00:00;2018-09-03 00:00:00;6;5;1;102,320;10,784;6;,797;24,060;4,782;1366;118;1484
2018-09-04;1012;Hamburger Royal TS® oder McRib® nur je 1,99€ Nur einlösbar von 10:30 Uhr bis 24:00 Uhr;2018-09-03 00:00:00;2018-09-08 00:00:00;5757;5084;673;52887,200;10212,730;5752;,761;22254,151;4378,401;1366;118;1484
2018-09-05;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-19 00:00:00;2;0;2;,000;,000;0;,000;,000;,000;1366;118;1484
2018-09-05;1012;Hamburger Royal TS® oder McRib® nur je 1,99€ Nur einlösbar von 10:30 Uhr bis 24:00 Uhr;2018-09-03 00:00:00;2018-09-08 00:00:00;6015;5362;653;53909,960;10665,212;6015;,763;23268,818;4593,820;1366;118;1484
2018-09-06;1012;Hamburger Royal TS® oder McRib® nur je 1,99€ Nur einlösbar von 10:30 Uhr bis 24:00 Uhr;2018-09-03 00:00:00;2018-09-08 00:00:00;6107;5398;709;55206,080;10828,992;6107;,762;23607,687;4656,230;1366;118;1484
2018-09-07;1012;Hamburger Royal TS® oder McRib® nur je 1,99€ Nur einlösbar von 10:30 Uhr bis 24:00 Uhr;2018-09-03 00:00:00;2018-09-08 00:00:00;6930;6227;703;67276,780;12311,721;6930;,764;26882,562;5294,782;1366;118;1484
2018-09-07;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;130;115;15;727,200;172,633;130;,467;338,850;60,738;1366;118;1484
2018-09-08;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5930;5333;597;31164,050;7888,110;5930;,461;15369,272;2738,581;1366;118;1484
2018-09-08;1012;Hamburger Royal TS® oder McRib® nur je 1,99€ Nur einlösbar von 10:30 Uhr bis 24:00 Uhr;2018-09-03 00:00:00;2018-09-08 00:00:00;2;2;0;14,950;3,532;2;,797;7,876;1,594;1366;118;1484
2018-09-09;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5562;4981;581;32136,460;7427,351;5562;,463;14496,772;2580,680;1366;118;1484
2018-09-10;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;3208;2878;330;15725,240;4279,455;3208;,459;8337,742;1473,135;1366;118;1484
2018-09-11;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5286;4721;565;25005,250;7051,427;5286;,457;13727,982;2419,596;1366;118;1484
2018-09-11;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-19 00:00:00;2;2;0;22,920;,000;0;,000;,000;,000;1366;118;1484
2018-09-12;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;4906;4336;570;23558,830;6541,320;4906;,457;12734,158;2246,434;1366;118;1484
2018-09-12;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-19 00:00:00;2;2;0;1,000;,000;0;,000;,000;,000;1366;118;1484
2018-09-13;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;4214;3808;406;21898,000;5627,765;4214;,460;10952,019;1938,857;1366;118;1484
2018-09-13;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-19 00:00:00;3;2;1;5,370;,000;0;,000;,000;,000;1366;118;1484
2018-09-14;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5234;4733;501;27514,580;6974,945;5234;,458;13598,516;2399,696;1367;118;1485
2018-09-15;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-19 00:00:00;1;1;0;1,000;,000;0;,000;,000;,000;1367;118;1485
2018-09-15;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;4731;4270;461;25955,830;6294,129;4731;,458;12270,429;2166,858;1367;118;1485
2018-09-16;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-19 00:00:00;1;1;0;,000;,000;0;,000;,000;,000;1367;118;1485
2018-09-16;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5915;5352;563;33993,580;7909,942;5915;,461;15444,661;2730,704;1367;118;1485
2018-09-16;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-19 00:00:00;62;51;11;424,080;55,500;62;,349;77,323;21,640;1367;118;1485
2018-09-17;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-19 00:00:00;3;2;1;5,570;,000;0;,000;,000;,000;1367;118;1485
2018-09-17;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;2;1;1;3,000;2,663;2;,415;5,307;,830;1367;118;1485
2018-09-17;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-19 00:00:00;5918;5265;653;40016,790;5278,255;5918;,346;7341,712;2051,944;1367;118;1485
2018-09-18;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-19 00:00:00;5536;4944;592;38667,700;4943,220;5536;,346;6873,607;1919,408;1367;118;1485
2018-09-18;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-19 00:00:00;2;1;1;15,370;,000;0;,000;,000;,000;1367;118;1485
2018-09-19;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-19 00:00:00;5163;4583;580;36556,430;4617,930;5163;,346;6417,031;1791,012;1367;118;1485
2018-09-19;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-19 00:00:00;1;1;0;,000;,000;0;,000;,000;,000;1367;118;1485
