BusinessDay;PromotionID;PromotionName;PromotionMinBusinessDay;PromotionMaxBusinessDay;GuestCountTotal;GuestCountFranchise;GuestCountMcOpCo;GrossAmount;NetSalesAmountAfterDiscount;UnitsSold;AvgFPCostAvg;NetSalesAmount;FPCost;StoreCountFranchise;StoreCountMcOpCo;StoreCountTotal
2018-09-08;1012;Hamburger Royal TS® oder McRib® nur je 1,99€ Nur einlösbar von 10:30 Uhr bis 24:00 Uhr;2018-09-03 00:00:00;2018-09-08 00:00:00;2;2;0;14,950;3,532;2;,797;7,876;1,594;1366;118;1484
2018-09-08;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5930;5333;597;31164,050;7888,110;5930;,461;15369,272;2738,581;1366;118;1484
2018-09-09;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5562;4981;581;32136,460;7427,351;5562;,463;14496,772;2580,680;1366;118;1484
2018-09-10;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;3208;2878;330;15725,240;4279,455;3208;,459;8337,742;1473,135;1366;118;1484
2018-09-11;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5286;4721;565;25005,250;7051,427;5286;,457;13727,982;2419,596;1366;118;1484
2018-09-11;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-25 00:00:00;2;2;0;22,920;,000;0;,000;,000;,000;1366;118;1484
2018-09-12;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-25 00:00:00;2;2;0;1,000;,000;0;,000;,000;,000;1366;118;1484
2018-09-12;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;4906;4336;570;23558,830;6541,320;4906;,457;12734,158;2246,434;1366;118;1484
2018-09-13;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;4214;3808;406;21898,000;5627,765;4214;,460;10952,019;1938,857;1366;118;1484
2018-09-13;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-25 00:00:00;3;2;1;5,370;,000;0;,000;,000;,000;1366;118;1484
2018-09-14;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5234;4733;501;27514,580;6974,945;5234;,458;13598,516;2399,696;1367;118;1485
2018-09-15;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-25 00:00:00;1;1;0;1,000;,000;0;,000;,000;,000;1367;118;1485
2018-09-15;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;4731;4270;461;25955,830;6294,129;4731;,458;12270,429;2166,858;1367;118;1485
2018-09-16;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;62;51;11;424,080;55,500;62;,349;77,323;21,640;1367;118;1485
2018-09-16;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-25 00:00:00;1;1;0;,000;,000;0;,000;,000;,000;1367;118;1485
2018-09-16;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5915;5352;563;33993,580;7909,942;5915;,461;15444,661;2730,704;1367;118;1485
2018-09-17;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;2;1;1;3,000;2,663;2;,415;5,307;,830;1367;118;1485
2018-09-17;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-25 00:00:00;3;2;1;5,570;,000;0;,000;,000;,000;1367;118;1485
2018-09-17;1014;Cheeseburger oder Chickenburger Je nur 1,00€;2018-09-16 00:00:00;2018-09-24 00:00:00;5918;5265;653;40016,790;5278,255;5918;,346;7341,712;2051,944;1367;118;1485
2018-09-18;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-09-25 00:00:00;2;1;1;15,370;,000;0;,000;,000;,000;1367;118;1485
