BusinessDay;PromotionID;PromotionName;PromotionMinBusinessDay;PromotionMaxBusinessDay;GuestCountTotal;GuestCountFranchise;GuestCountMcOpCo;GrossAmount;NetSalesAmountAfterDiscount;UnitsSold;AvgFPCostAvg;NetSalesAmount;FPCost;StoreCountFranchise;StoreCountMcOpCo;StoreCountTotal
2018-09-04;1012;Hamburger Royal TS® oder McRib® nur je 1,99€ Nur einlösbar von 10:30 Uhr bis 24:00 Uhr;2018-09-03 00:00:00;2018-09-08 00:00:00;5757;5084;673;52887,200;10212,730;5752;,761;22254,151;4378,401;1366;118;1484
2018-09-05;1011;McCafé Sammelpass Gratis: Heißgetränk in der Größe regular;2018-09-05 00:00:00;2018-10-03 00:00:00;2;0;2;,000;,000;0;,000;,000;,000;1366;118;1484
2018-09-05;1012;Hamburger Royal TS® oder McRib® nur je 1,99€ Nur einlösbar von 10:30 Uhr bis 24:00 Uhr;2018-09-03 00:00:00;2018-09-08 00:00:00;6015;5362;653;53909,960;10665,212;6015;,763;23268,818;4593,820;1366;118;1484
2018-09-06;1012;Hamburger Royal TS® oder McRib® nur je 1,99€ Nur einlösbar von 10:30 Uhr bis 24:00 Uhr;2018-09-03 00:00:00;2018-09-08 00:00:00;6107;5398;709;55206,080;10828,992;6107;,762;23607,687;4656,230;1366;118;1484
2018-09-07;1012;Hamburger Royal TS® oder McRib® nur je 1,99€ Nur einlösbar von 10:30 Uhr bis 24:00 Uhr;2018-09-03 00:00:00;2018-09-08 00:00:00;6930;6227;703;67276,780;12311,721;6930;,764;26882,562;5294,782;1366;118;1484
2018-09-07;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;130;115;15;727,200;172,633;130;,467;338,850;60,738;1366;118;1484
2018-09-08;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5930;5333;597;31164,050;7888,110;5930;,461;15369,272;2738,581;1366;118;1484
2018-09-08;1012;Hamburger Royal TS® oder McRib® nur je 1,99€ Nur einlösbar von 10:30 Uhr bis 24:00 Uhr;2018-09-03 00:00:00;2018-09-08 00:00:00;2;2;0;14,950;3,532;2;,797;7,876;1,594;1366;118;1484
2018-09-09;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;5562;4981;581;32136,460;7427,351;5562;,463;14496,772;2580,680;1366;118;1484
2018-09-10;1013;1 My McFlurry® nur 1,50€ mit 2 Toppings nach Wahl;2018-09-07 00:00:00;2018-09-17 00:00:00;3209;2879;330;15726,740;4280,857;3209;,459;8340,349;1473,618;1366;118;1484
