businessDay,saleDate,saleTime,saleHH,saleMM,saleSS,tenderPOS,orderKey,CustomerID,Head_offerID,Head_PromotionID,Head_PromotionName,orderID,storeNr,saleStatus,transactionKind,pod,takeID,isPOSRedirect,isTableDelivery,totalAmount,bdTotalAmount,totalTaxAmount,DiscountAmount,ItemForExtraction,productCode,description,dtName,Item_PromotionID,quantity,quantitySold,quantityPromo,unitPrice,adUnitPrice,totalPrice,adTotalPrice,totalTax,netPrice,itemLevel,itemCode,prodAction,isGrillLine,taxID,taxRate,voucherPosition
20180326,20180326,185028,18,50,28,POS0008,POS0008:1064111715,5231863,491465,142,"2 Chickenburger nur 2,00 € Jetzt einlösen!",76,1558,128,5,0,0,0,0,16.14,16.92,1.06,,true,2050,BigMac,Big Mac,,4,4,0,1.99,2.06,7.96,8.24,0.54,7.7,0,0,0,false,2,7,1
20180425,20180425,183818,18,38,18,POS0005,POS0005:800151168,4246605,1986620,158,50% sparen: 2 Große Pommes Frites zum Preis von einer,80,354,128,0,0,1,0,1,26.56,26.56,4.24,,false,2050,BigMac,Big Mac,,1,0,0,1.99,0,0,4.28,0.68,3.6,1,0,0,false,1,19,2
