StoreID|POSID|OrderNumber|BusinessDate|OrderDate|OrderTime|RegisterType|TakeId|SpecialTransactionID|DiscountAmount|PromoAmount|TotalAmount|HoldTime|TotalTIme|MenuPriceBasis|TenderTypeID|MarketCode
199|5|874875176|20180704|20180706|1042|1|1|000|0.00|0.00|6.50|2955|0004|G|0|756
199|5|546151278|20180704|20180706|1044|90|1|105|8.40|0.00|42.00|2756|0203|G|0|756
199|5|874875177|20180704|20180706|1045|1|1|000|0.00|0.00|8.50|2921|0038|G|0|756
199|5|874875178|20180704|20180706|1050|1|0|005|2.50|0.00|15.80|2942|0017|G|0|756
199|5|874875179|20180704|20180706|1052|1|1|000|0.00|0.00|16.20|2816|0110|G|0|756
199|5|874875180|20180704|20180706|1055|1|0|005|3.50|0.00|18.90|2932|0027|G|0|756
199|5|546151279|20180704|20180706|1059|90|0|105|2.50|0.00|39.30|2617|0342|G|0|756
199|5|874875181|20180704|20180706|1100|1|0|000|0.00|0.00|28.80|2939|0020|G|0|756
