Id;CampaignId;MerchantId;CategoryId;Title;Description;WhenStarts;WhenExpires;TermsAndConditions;WhenLastUpdated;HasBarcodeImage;RedemptionLimit;RedemptionText;RedemptionCountUnlimited;CodeType;PremiumPlacement;Status;AlternativeTitle;AlternativeDescription;AlternativeTermsAndConditions;ApplyGeoFenceFilters;PromoImage;ExtendedData;DailyStartTime;DailyEndTime;DaysOfWeek;BaseWeight;NoCompeteGroup;IsGiftable;InStoreRedemptions;IsReward;AltImage;ContentUrl;IsRespawning;RespawnsInDays;EnableDistanceWeight;TagWeights;ApplyBeaconFilter;BeaconGroupIds;IsAvailableAllStores;ConsumerTargetingFilters;OperatingConditionsFilters;ContentFilters;GeofenceIds;Subcategories
937;39;579;38;2 x Cheeseburger + 0.4L = 4.90;Text Text Text;2017-08-28 10:00:00 +00:00;2017-09-12 13:00:00 +00:00;Terms Terms Terms;2018-03-27 02:28:15 +00:00;False;;;True;4;False;2;;;;False;op937_en.png;"""{hideexpiredate:true}""";;;0,1,2,3,4,5,6;60;;False;;False;oa937_en.png;;False;;False;" """"{""""ReferenceCode"""" : """"Beef_Sandwiches_And_Wraps_Regular"""",""""Weight"""" : """"50""""}""""";False;;True; merchantId579;;;;
954;39;579;40;Happy Meal;Text Text Text;2017-08-28 10:00:00 +00:00;2017-09-07 13:00:00 +00:00;Terms Terms Terms;2018-03-27 02:28:15 +00:00;False;;;True;4;False;1;;;;False;op954_en.png;;;;0,1,2,3,4,5,6;60;;False;;False;oa954_en.png;;False;;False;;False;;True; Switzerland_CRM_AdA;;;;
959;42;579;40;1 Menu Medium + 1 Happy Meal = Fr. 15.90;1 Menu Medium + 1 Happy Meal = Fr. 15.90;2017-08-29 13:00:00 +00:00;2017-12-31 23:59:00 +00:00;McDonald's beh«œlt sich das Recht vor, dieses Angebot jederzeit zur«¨ckzuziehen. G«¨ltig nur in der Schweiz und im F«¨rstentum Liechtenstein. 1 Angebot g«¨ltig pro Bestellung. Menu Big Tasty∂© (Bacon), 9 Chicken McNuggets∂© : + Fr. 1.50. Nicht g«¨ltig f«¨r The Prime und BigBang Burger.;2018-03-27 02:28:15 +00:00;False;;2,01126E+11;True;1;False;1;;;;False;op959_en.png;"""{hideexpiredate:true}""";;;0,1,2,3,4,5,6;51;;False;;False;;;False;;False;" """"{""""ReferenceCode"""" : """"family_historic"""",""""Weight"""" : """"10""""}"""",""""{""""ReferenceCode"""" : """"historic_default"""",""""Weight"""" : """"10""""}""""";False;;True; Switzerland_CRM_OfferA;;;;
960;42;579;52;1 Kaffee* + 1 Donut oder 1 Muffin = Fr. 4.90;* Espresso, Ristretto oder Caf«∏ Cr«˘me small;2017-08-29 13:00:00 +00:00;2017-12-31 23:59:00 +00:00;McDonald's beh«œlt sich das Recht vor, dieses Angebot jederzeit zur«¨ckzuziehen. G«¨ltig nur in der Schweiz und im F«¨rstentum Liechtenstein. 1 Angebot g«¨ltig pro Bestellung.;2018-03-27 02:28:15 +00:00;False;;48800006;True;1;False;1;;;;False;op960_en.png;"""{hideexpiredate:true}""";;;0,1,2,3,4,5,6;45;;False;;False;;;False;;False;;False;;True; Switzerland_CRM_OfferA;;;;
